Time,
2014-07-01 00:00:00 UTC,1932272.0
2014-08-01 00:00:00 UTC,2112222.0
2014-09-01 00:00:00 UTC,2144596.0
2014-10-01 00:00:00 UTC,2390212.0
2014-11-01 00:00:00 UTC,2512559.0
2014-12-01 00:00:00 UTC,2703958.0
2015-01-01 00:00:00 UTC,2890991.0
2015-02-01 00:00:00 UTC,2661477.0
2015-03-01 00:00:00 UTC,3050358.0
2015-04-01 00:00:00 UTC,3195618.0
2015-05-01 00:00:00 UTC,3208048.0
2015-06-01 00:00:00 UTC,3510876.0
2015-07-01 00:00:00 UTC,4313056.0
2015-08-01 00:00:00 UTC,3569102.0
2015-09-01 00:00:00 UTC,4148310.0
2015-10-01 00:00:00 UTC,4268853.0
2015-11-01 00:00:00 UTC,4759910.0
2015-12-01 00:00:00 UTC,6097424.0
2016-01-01 00:00:00 UTC,5941625.0
2016-02-01 00:00:00 UTC,6328098.0
2016-03-01 00:00:00 UTC,6092921.0
2016-04-01 00:00:00 UTC,6431712.0
2016-05-01 00:00:00 UTC,6785775.0
2016-06-01 00:00:00 UTC,6875990.0
2016-07-01 00:00:00 UTC,6502334.0
2016-08-01 00:00:00 UTC,6985382.0
2016-09-01 00:00:00 UTC,6658263.0
2016-10-01 00:00:00 UTC,7372569.0
2016-11-01 00:00:00 UTC,8089573.0
2016-12-01 00:00:00 UTC,8562381.0
2017-01-01 00:00:00 UTC,8617360.0
2017-02-01 00:00:00 UTC,8277352.0
2017-03-01 00:00:00 UTC,8866167.0
2017-04-01 00:00:00 UTC,8351640.0
2017-05-01 00:00:00 UTC,10061195.0
2017-06-01 00:00:00 UTC,8071385.0
2017-07-01 00:00:00 UTC,7183759.0
2017-08-01 00:00:00 UTC,7765430.0
2017-09-01 00:00:00 UTC,7345502.0
2017-10-01 00:00:00 UTC,8987745.0
2017-11-01 00:00:00 UTC,9345256.0
2017-12-01 00:00:00 UTC,11190438.0
2018-01-01 00:00:00 UTC,8875131.0
2018-02-01 00:00:00 UTC,5356201.0
2018-03-01 00:00:00 UTC,5695168.0
2018-04-01 00:00:00 UTC,5753341.0
2018-05-01 00:00:00 UTC,6138957.0
2018-06-01 00:00:00 UTC,5754319.0
2018-07-01 00:00:00 UTC,6394593.0
2018-08-01 00:00:00 UTC,6732439.0
2018-09-01 00:00:00 UTC,6873952.0
2018-10-01 00:00:00 UTC,7580518.0
2018-11-01 00:00:00 UTC,8055323.0
2018-12-01 00:00:00 UTC,8196417.0
2019-01-01 00:00:00 UTC,9222178.0
2019-02-01 00:00:00 UTC,9269096.0
2019-03-01 00:00:00 UTC,9457625.0
2019-04-01 00:00:00 UTC,11003022.0
2019-05-01 00:00:00 UTC,11505497.0
2019-06-01 00:00:00 UTC,10486006.0
